Gender,Age,P3,P5,P10,P25,P50,P75,P90,P95,P97
M,126.5,25.3473142,26.17126436,27.55725852,30.25712523,34.00363017,38.88907228,44.77111415,49.29525914,52.79314187
M,127.5,25.54826471,26.38508699,27.79270478,30.53439065,34.33766207,39.29366396,45.2535413,49.83107058,53.36583897
M,128.5,25.75194512,26.60184044,28.03139872,30.8154346,34.67599076,39.70279517,45.74009589,50.37015732,53.94084012
M,129.5,25.95847011,26.82163224,28.27343489,31.1003232,35.01863732,40.11642323,46.23066219,50.91236024,54.51796605
M,130.5,26.16795559,27.0445704,28.51890714,31.38911963,35.36561737,40.53449819,46.72511793,51.45751679,55.09703793
M,131.5,26.38051177,27.27075818,28.76790586,31.6818858,35.71694723,40.95697152,47.22334049,52.00546039,55.67786843
M,132.5,26.59626062,27.50030694,29.02052392,31.97867622,36.07262569,41.38377162,47.72519072,52.55602363,56.26028801
M,133.5,26.81530934,27.73331628,29.27684696,32.27954601,36.43265996,41.81483955,48.23053714,53.10903452,56.84410756
M,134.5,27.03777112,27.96988937,29.53696045,32.58454356,36.79704392,42.25009969,48.73923662,53.66432034,57.42914961
M,135.5,27.26375553,28.21012567,29.80094595,32.89371309,37.1657671,42.68947235,49.25114312,54.22170647,58.01523548
M,136.5,27.49336962,28.45412164,30.06888124,33.20709368,37.53881268,43.13287143,49.76610635,54.7810171,58.60218796
M,137.5,27.72671746,28.70197022,30.34083979,33.52471882,37.91615721,43.58020437,50.28397203,55.34207557,59.18983178
M,138.5,27.96389959,28.95376036,30.61689027,33.84661596,38.2977703,44.03137211,50.80458216,55.90470472,59.77799389
M,139.5,28.20501252,29.20957645,30.89709604,34.17280606,38.6836143,44.48626901,51.32777521,56.46872726,60.36650388
M,140.5,28.4501482,29.46949781,31.18151463,34.50330312,39.07364401,44.94478284,51.85338637,57.03396609,60.95519425
M,141.5,28.69939347,29.73359819,31.47019723,34.83811379,39.46780643,45.40679475,52.38124777,57.6002446,61.54390076
M,142.5,28.95282957,30.00194519,31.76318818,35.17723687,39.86604044,45.8721792,52.91118868,58.167387,62.13246268
M,143.5,29.21053153,30.27459974,32.06052445,35.52066292,40.26827652,46.34080401,53.44303574,58.73521857,62.72072311
M,144.5,29.47256769,30.55161562,32.36223514,35.8683738,40.67443658,46.81253029,53.97661318,59.30356596,63.30852916
M,145.5,29.73899917,30.83303885,32.66834099,36.22034231,41.08443363,47.28721249,54.51174297,59.87225739,63.89573222
M,146.5,30.00987927,31.11890724,32.97885387,36.57653175,41.49817164,47.76469837,55.04824506,60.44112289,64.48218816
M,147.5,30.28525305,31.40924987,33.29377635,36.9368956,41.91554528,48.24482905,55.58593751,61.00999451,65.06775743
M,148.5,30.56515671,31.70408654,33.61310119,37.3013771,42.33643978,48.72743903,56.1246367,61.5787065,65.65230527
M,149.5,30.84961718,32.00342738,33.93681092,37.669909,42.76073078,49.21235624,56.66415748,62.14709543,66.23570179
M,150.5,31.13865154,32.30727227,34.26487746,38.04241318,43.18828419,49.6994021,57.20431332,62.71500036,66.81782206
M,151.5,31.43226571,32.61560983,34.59726137,38.4188008,43.61895703,50.1883928,57.74491716,63.28226272,67.39854494
M,152.5,31.73045808,32.92841993,34.9339128,38.79897039,44.0525931,50.67913392,58.2857783,63.84872734,67.97775861
M,153.5,32.03321196,33.24566815,35.27476898,39.18281045,44.48903027,51.17142989,58.82670813,64.41424088,68.5553511
M,154.5,32.34050069,33.56730937,35.61975555,39.57019714,44.92809483,51.66507694,59.36751587,64.97865313,69.13121752
M,155.5,32.6522856,33.8932863,35.96878581,39.96099475,45.36960315,52.15986523,59.90801,65.54181664,69.70525793
M,156.5,32.96851571,34.22352911,36.32176053,40.35505561,45.81336172,52.65557906,60.44799828,66.1035867,70.27737718
M,157.5,33.28912731,34.5579552,36.67856768,40.75222006,46.25916729,53.15199704,60.98728788,66.66382131,70.8474848
M,158.5,33.61404373,34.8964689,37.03908232,41.15231646,46.70680701,53.64889226,61.52568545,67.22238111,71.41549477
M,159.5,33.94317499,35.23896126,37.40316649,41.55516124,47.15605863,54.14603254,62.06299719,67.77912926,71.98132532
M,160.5,34.27641756,35.58530989,37.7706691,41.96055897,47.60669074,54.64318067,62.59902894,68.33393136,72.54489869
M,161.5,34.61365176,35.9353771,38.14142532,42.36830371,48.05846572,55.14009784,63.13358794,68.88665453,73.10613746
M,162.5,34.95474943,36.28901539,38.51525867,42.77817554,48.51113138,55.63653354,63.66647721,69.43716965,73.66497514
M,163.5,35.29956396,36.64606043,38.89197851,43.1899454,48.96443224,56.13223889,64.19750276,69.98534819,74.22134215
M,164.5,35.64793577,37.00633501,39.27138168,43.6033728,49.41810374,56.62695959,64.72646954,70.53106367,74.77517319
M,165.5,35.99969112,37.36964826,39.65325233,44.01820683,49.87187409,57.12043787,65.25318239,71.07419108,75.32640513
M,166.5,36.354642,37.73579576,40.03736224,44.43418656,50.32546478,57.61241293,65.77744608,71.6146066,75.87497649
M,167.5,36.71258626,38.10455963,40.42347105,44.8510416,50.77859121,58.10262135,66.29906539,72.15218736,76.42082697
M,168.5,37.07330766,38.47570882,40.81132672,45.26849262,51.23096332,58.59079757,66.81784516,72.68681109,76.96389688
M,169.5,37.43657601,38.84899932,41.20066588,45.68625203,51.68228625,59.07667438,67.33359031,73.21835588,77.50412655
M,170.5,37.80214741,39.22417451,41.5912144,46.10402466,52.13226113,59.55998349,67.846106,73.7466998,78.04145573
M,171.5,38.16976444,39.60096552,41.98268787,46.5215085,52.58058583,60.04045606,68.35519765,74.27172061,78.57582294
M,172.5,38.53915657,39.97909172,42.37479226,46.93839552,53.02695588,60.51782332,68.86067105,74.79329538,79.10716478
M,173.5,38.91004046,40.35826115,42.76722456,47.35437254,53.47106525,60.99181722,69.36233252,75.31130018,79.63541524
M,174.5,39.28212045,40.73817116,43.15967355,47.76912213,53.91260737,61.4621711,69.85998897,75.82560968,80.16050495
M,175.5,39.65508906,41.118509,43.55182054,48.18232356,54.35127608,61.92862037,70.35344811,76.33609688,80.68236046
M,176.5,40.02862762,41.49895256,43.94334028,48.59365384,54.78676659,62.3909033,70.8425186,76.84263269,81.20090348
M,177.5,40.40240687,41.8791711,44.33390178,49.00278873,55.21877657,62.84876169,71.32701026,77.34508562,81.71605007
M,178.5,40.77608405,42.25882349,44.72316843,49.40940563,55.64701131,63.30194659,71.80673678,77.84332029,82.22770492
